Sample ID,Project ID,Project Name,Tissue,Species/Substrate,Data repository,subject_id,target,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,seed_17,seed_18,seed_19,seed_20,seed_21,seed_22,seed_23,seed_24,seed_25,seed_26,seed_27,seed_28,seed_29,seed_30,seed_31,seed_32,seed_33,seed_34,seed_35,seed_36,seed_37,seed_38,seed_39,seed_40,seed_41,seed_42,seed_43,seed_44,seed_45,seed_46,seed_47,seed_48,seed_49
R_100_S100_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-289,cow_rumen,train,train,test,test,train,test,val,test,train,train,train,test,train,train,train,train,train,train,train,train,train,test,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,test,test,train,train,test,test,test
R_101_S101_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-294,cow_rumen,test,train,train,train,test,test,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,train,test,train,test,val,train,train,train,val,test,train,train,val,train,train,train,test,train,train
R_102_S102_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-307,cow_rumen,train,train,train,train,val,train,train,train,test,train,test,train,train,test,train,train,test,train,train,train,test,train,train,train,train,train,train,train,test,train,test,train,train,train,train,train,train,test,train,test,train,train,test,train,train,train,train,train,val,train
R_103_S103_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-8,cow_rumen,train,train,val,train,train,train,train,train,test,train,train,train,train,test,val,train,val,train,train,train,train,val,train,val,train,test,train,train,train,test,train,train,test,test,train,test,train,train,train,train,train,train,train,test,val,train,train,train,train,train
R_104_S104_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-2,cow_rumen,train,train,train,test,test,train,train,train,train,train,test,train,test,train,train,val,train,test,train,train,train,train,train,train,test,train,train,train,val,test,train,val,train,train,val,train,train,test,train,train,train,train,train,val,train,train,train,train,train,train
R_105_S105_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-4,cow_rumen,train,train,test,test,train,train,train,train,test,test,val,train,train,val,train,test,test,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,test,val,train,train,train,train,train,train,train,train,test,train,test
R_106_S106_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-12,cow_rumen,train,train,train,train,train,train,val,train,train,test,train,train,train,train,train,test,train,train,train,test,val,train,train,train,test,train,train,test,test,train,train,train,train,test,val,train,test,val,train,train,train,train,train,train,train,test,test,train,train,train
R_107_S107_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-20,cow_rumen,train,train,train,train,train,train,train,train,train,train,test,test,train,val,val,train,train,train,test,test,train,train,test,train,train,train,test,train,test,train,test,train,test,train,train,train,train,train,train,test,test,train,train,test,train,test,test,train,test,test
R_108_S108_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-44,cow_rumen,train,train,test,train,train,train,val,train,test,val,train,train,train,test,train,test,val,test,train,train,train,test,test,train,test,test,val,test,test,train,val,train,train,train,test,train,train,train,train,train,val,train,test,train,test,train,train,train,train,train
R_109_S109_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-69,cow_rumen,train,val,train,train,train,train,train,train,train,train,train,val,train,train,test,test,train,train,train,train,val,train,train,train,train,train,val,test,val,test,train,train,train,train,train,train,val,train,test,val,train,train,test,train,train,train,train,train,train,train
R_110_S110_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-295,cow_rumen,train,val,train,train,test,test,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,test,train,test,train,train,train,val,train,train,train,val,train,test,train,train,train,test,test,train,train,train,train,test,train,train,train
