sample_id,Experiment Accession,Experiment Title,Sample Accession,tissue,goat,project,repo
10,SRX21335356,"16S of gut goat metagenome. Feces sample, goat: 4328 diet: Q4, sampleID: 10",SRS18580796,gut,4328,Grant-201801062101,PRJNA1003434
9,SRX21335355,"16S of gut goat metagenome. Feces sample, goat: 4326 diet: Q2, sampleID: 9",SRS18580795,gut,4326,Grant-201801062101,PRJNA1003434
8,SRX21335354,"16S of gut goat metagenome. Feces sample, goat: 4334 diet: Q6, sampleID: 8",SRS18580792,gut,4334,Grant-201801062101,PRJNA1003434
7,SRX21335353,"16S of gut goat metagenome. Feces sample, goat: 4333 diet: Q2, sampleID: 7",SRS18580793,gut,4333,Grant-201801062101,PRJNA1003434
59,SRX21335352,"16S of gut goat metagenome. Rumen sample, goat: 7854 diet: Q6, sampleID: 59",SRS18580791,rumen,7854,Grant-201801062101,PRJNA1003434
58,SRX21335351,"16S of gut goat metagenome. Rumen sample, goat: 4336 diet: Q2, sampleID: 58",SRS18580790,rumen,4336,Grant-201801062101,PRJNA1003434
57,SRX21335350,"16S of gut goat metagenome. Rumen sample, goat: 4334 diet: Q4, sampleID: 57",SRS18580789,rumen,4334,Grant-201801062101,PRJNA1003434
56,SRX21335349,"16S of gut goat metagenome. Rumen sample, goat: 7858 diet: Q4, sampleID: 56",SRS18580786,rumen,7858,Grant-201801062101,PRJNA1003434
55,SRX21335348,"16S of gut goat metagenome. Rumen sample, goat: 4329 diet: Q2, sampleID: 55",SRS18580788,rumen,4329,Grant-201801062101,PRJNA1003434
54,SRX21335347,"16S of gut goat metagenome. Rumen sample, goat: 4328 diet: Q6, sampleID: 54",SRS18580787,rumen,4328,Grant-201801062101,PRJNA1003434
53,SRX21335346,"16S of gut goat metagenome. Rumen sample, goat: 4326 diet: C, sampleID: 53",SRS18580785,rumen,4326,Grant-201801062101,PRJNA1003434
6,SRX21335345,"16S of gut goat metagenome. Feces sample, goat: 7854 diet: Q4, sampleID: 6",SRS18580783,gut,7854,Grant-201801062101,PRJNA1003434
52,SRX21335344,"16S of gut goat metagenome. Rumen sample, goat: 4329 diet: Q4, sampleID: 52",SRS18580784,rumen,4329,Grant-201801062101,PRJNA1003434
51,SRX21335343,"16S of gut goat metagenome. Rumen sample, goat: 4328 diet: Q2, sampleID: 51",SRS18580781,rumen,4328,Grant-201801062101,PRJNA1003434
50,SRX21335342,"16S of gut goat metagenome. Rumen sample, goat: 4326 diet: Q6, sampleID: 50",SRS18580782,rumen,4326,Grant-201801062101,PRJNA1003434
49,SRX21335341,"16S of gut goat metagenome. Rumen sample, goat: 7858 diet: Q2, sampleID: 49",SRS18580780,rumen,7858,Grant-201801062101,PRJNA1003434
48,SRX21335340,"16S of gut goat metagenome. Rumen sample, goat: 4328 diet: C, sampleID: 48",SRS18580778,rumen,4328,Grant-201801062101,PRJNA1003434
47,SRX21335339,"16S of gut goat metagenome. Rumen sample, goat: 4326 diet: Q4, sampleID: 47",SRS18580779,rumen,4326,Grant-201801062101,PRJNA1003434
46,SRX21335338,"16S of gut goat metagenome. Rumen sample, goat: 7854 diet: C, sampleID: 46",SRS18580777,rumen,7854,Grant-201801062101,PRJNA1003434
45,SRX21335337,"16S of gut goat metagenome. Rumen sample, goat: 4336 diet: Q6, sampleID: 45",SRS18580776,rumen,4336,Grant-201801062101,PRJNA1003434
44,SRX21335336,"16S of gut goat metagenome. Rumen sample, goat: 4334 diet: Q2, sampleID: 44",SRS18580775,rumen,4334,Grant-201801062101,PRJNA1003434
42,SRX21335335,"16S of gut goat metagenome. Rumen sample, goat: 7858 diet: Q6, sampleID: 42",SRS18580774,rumen,7858,Grant-201801062101,PRJNA1003434
5,SRX21335334,"16S of gut goat metagenome. Feces sample, goat: 4336 diet: C, sampleID: 5",SRS18580773,gut,4336,Grant-201801062101,PRJNA1003434
41,SRX21335333,"16S of gut goat metagenome. Rumen sample, goat: 4329 diet: C, sampleID: 41",SRS18580772,rumen,4329,Grant-201801062101,PRJNA1003434
40,SRX21335332,"16S of gut goat metagenome. Rumen sample, goat: 4328 diet: Q4, sampleID: 40",SRS18580769,rumen,4328,Grant-201801062101,PRJNA1003434
39,SRX21335331,"16S of gut goat metagenome. Rumen sample, goat: 4326 diet: Q2, sampleID: 39",SRS18580770,rumen,4326,Grant-201801062101,PRJNA1003434
38,SRX21335330,"16S of gut goat metagenome. Rumen sample, goat: 4334 diet: Q6, sampleID: 38",SRS18580771,rumen,4334,Grant-201801062101,PRJNA1003434
37,SRX21335329,"16S of gut goat metagenome. Rumen sample, goat: 4333 diet: Q2, sampleID: 37",SRS18580768,rumen,4333,Grant-201801062101,PRJNA1003434
36,SRX21335328,"16S of gut goat metagenome. Rumen sample, goat: 7854 diet: Q4, sampleID: 36",SRS18580767,rumen,7854,Grant-201801062101,PRJNA1003434
35,SRX21335327,"16S of gut goat metagenome. Rumen sample, goat: 4336 diet: C, sampleID: 35",SRS18580766,rumen,4336,Grant-201801062101,PRJNA1003434
34,SRX21335326,"16S of gut goat metagenome. Rumen sample, goat: 7854 diet: Q2, sampleID: 34",SRS18580765,rumen,7854,Grant-201801062101,PRJNA1003434
33,SRX21335325,"16S of gut goat metagenome. Rumen sample, goat: 4336 diet: Q4, sampleID: 33",SRS18580764,rumen,4336,Grant-201801062101,PRJNA1003434
32,SRX21335324,"16S of gut goat metagenome. Rumen sample, goat: 4334 diet: C, sampleID: 32",SRS18580763,rumen,4334,Grant-201801062101,PRJNA1003434
4,SRX21335323,"16S of gut goat metagenome. Feces sample, goat: 7854 diet: Q2, sampleID: 4",SRS18580760,gut,7854,Grant-201801062101,PRJNA1003434
31,SRX21335322,"16S of gut goat metagenome. Rumen sample, goat: 4333 diet: Q6, sampleID: 31",SRS18580762,rumen,4333,Grant-201801062101,PRJNA1003434
30,SRX21335321,"16S of gut goat metagenome. Feces sample, goat: 7854 diet: Q6, sampleID: 30",SRS18580761,gut,7854,Grant-201801062101,PRJNA1003434
29,SRX21335320,"16S of gut goat metagenome. Feces sample, goat: 4336 diet: Q2, sampleID: 29",SRS18580759,gut,4336,Grant-201801062101,PRJNA1003434
28,SRX21335319,"16S of gut goat metagenome. Feces sample, goat: 4334 diet: Q4, sampleID: 28",SRS18580758,gut,4334,Grant-201801062101,PRJNA1003434
27,SRX21335318,"16S of gut goat metagenome. Feces sample, goat: 4333 diet: C, sampleID: 27",SRS18580755,gut,4333,Grant-201801062101,PRJNA1003434
26,SRX21335317,"16S of gut goat metagenome. Feces sample, goat: 7858 diet: Q4, sampleID: 26",SRS18580756,gut,7858,Grant-201801062101,PRJNA1003434
25,SRX21335316,"16S of gut goat metagenome. Feces sample, goat: 4329 diet: Q2, sampleID: 25",SRS18580757,gut,4329,Grant-201801062101,PRJNA1003434
24,SRX21335315,"16S of gut goat metagenome. Feces sample, goat: 4328 diet: Q6, sampleID: 24",SRS18580754,gut,4328,Grant-201801062101,PRJNA1003434
23,SRX21335314,"16S of gut goat metagenome. Feces sample, goat: 4326 diet: C, sampleID: 23",SRS18580753,gut,4326,Grant-201801062101,PRJNA1003434
22,SRX21335313,"16S of gut goat metagenome. Feces sample, goat: 4329 diet: Q4, sampleID: 22",SRS18580752,gut,4329,Grant-201801062101,PRJNA1003434
3,SRX21335312,"16S of gut goat metagenome. Feces sample, goat: 4336 diet: Q4, sampleID: 3",SRS18580751,gut,4336,Grant-201801062101,PRJNA1003434
21,SRX21335311,"16S of gut goat metagenome. Feces sample, goat: 4328 diet: Q2, sampleID: 21",SRS18580750,gut,4328,Grant-201801062101,PRJNA1003434
20,SRX21335310,"16S of gut goat metagenome. Feces sample, goat: 4326 diet: Q6, sampleID: 20",SRS18580749,gut,4326,Grant-201801062101,PRJNA1003434
19,SRX21335309,"16S of gut goat metagenome. Feces sample, goat: 7858 diet: Q2, sampleID: 19",SRS18580746,gut,7858,Grant-201801062101,PRJNA1003434
18,SRX21335308,"16S of gut goat metagenome. Feces sample, goat: 4328 diet: C, sampleID: 18",SRS18580748,gut,4328,Grant-201801062101,PRJNA1003434
17,SRX21335307,"16S of gut goat metagenome. Feces sample, goat: 4326 diet: Q4, sampleID: 17",SRS18580747,gut,4326,Grant-201801062101,PRJNA1003434
16,SRX21335306,"16S of gut goat metagenome. Feces sample, goat: 7854 diet: C, sampleID: 16",SRS18580745,gut,7854,Grant-201801062101,PRJNA1003434
15,SRX21335305,"16S of gut goat metagenome. Feces sample, goat: 4336 diet: Q6, sampleID: 15",SRS18580744,gut,4336,Grant-201801062101,PRJNA1003434
14,SRX21335304,"16S of gut goat metagenome. Feces sample, goat: 4334 diet: Q2, sampleID: 14",SRS18580743,gut,4334,Grant-201801062101,PRJNA1003434
12,SRX21335303,"16S of gut goat metagenome. Feces sample, goat: 7858 diet: Q6, sampleID: 12",SRS18580742,gut,7858,Grant-201801062101,PRJNA1003434
11,SRX21335302,"16S of gut goat metagenome. Feces sample, goat: 4329 diet: C, sampleID: 11",SRS18580741,gut,4329,Grant-201801062101,PRJNA1003434
2,SRX21335301,"16S of gut goat metagenome. Feces sample, goat: 4334 diet: C, sampleID: 2",SRS18580740,gut,4334,Grant-201801062101,PRJNA1003434
1,SRX21335300,"16S of gut goat metagenome. Feces sample, goat: 4333 diet: Q6, sampleID: 1",SRS18580739,gut,4333,Grant-201801062101,PRJNA1003434
