Experiment Accession,Experiment Title,Organism Name,Instrument,Submitter,Study Accession,Study Title,Sample Accession,Sample Title,"Total Size, Mb",Total RUNs,Total Spots,Total Bases,Library Name,Library Strategy,Library Source,Library Selection
SRX21335529,"18S of gut goat metagenome. Rumen sample, goat: 4329 diet: C, sampleID: 41",goat gut metagenome,Illumina MiSeq,National Research Council (CNR),SRP454594,Impact of increasing dietary concentrations of quebracho tannins on the ruminal and fecal microbiota of dairy goats,SRS18580772,,54.7,1,193575,94762024,goat18S_41,AMPLICON,METAGENOMIC,PCR
SRX21335528,"18S of gut goat metagenome. Rumen sample, goat: 4328 diet: Q4, sampleID: 40",goat gut metagenome,Illumina MiSeq,National Research Council (CNR),SRP454594,Impact of increasing dietary concentrations of quebracho tannins on the ruminal and fecal microbiota of dairy goats,SRS18580769,,24.38,1,92112,43158908,goat18S_40,AMPLICON,METAGENOMIC,PCR
SRX21335527,"18S of gut goat metagenome. Rumen sample, goat: 4326 diet: Q2, sampleID: 39",goat gut metagenome,Illumina MiSeq,National Research Council (CNR),SRP454594,Impact of increasing dietary concentrations of quebracho tannins on the ruminal and fecal microbiota of dairy goats,SRS18580770,,60.9,1,218525,107378056,goat18S_39,AMPLICON,METAGENOMIC,PCR
SRX21335526,"18S of gut goat metagenome. Rumen sample, goat: 4334 diet: Q6, sampleID: 38",goat gut metagenome,Illumina MiSeq,National Research Council (CNR),SRP454594,Impact of increasing dietary concentrations of quebracho tannins on the ruminal and fecal microbiota of dairy goats,SRS18580771,,35.44,1,124796,61656571,goat18S_38,AMPLICON,METAGENOMIC,PCR
SRX21335525,"18S of gut goat metagenome. Rumen sample, goat: 4333 diet: Q2, sampleID: 37",goat gut metagenome,Illumina MiSeq,National Research Council (CNR),SRP454594,Impact of increasing dietary concentrations of quebracho tannins on the ruminal and fecal microbiota of dairy goats,SRS18580768,,36.32,1,128447,64166621,goat18S_37,AMPLICON,METAGENOMIC,PCR
SRX21335524,"18S of gut goat metagenome. Rumen sample, goat: 7854 diet: Q4, sampleID: 36",goat gut metagenome,Illumina MiSeq,National Research Council (CNR),SRP454594,Impact of increasing dietary concentrations of quebracho tannins on the ruminal and fecal microbiota of dairy goats,SRS18580767,,32.24,1,112642,56170595,goat18S_36,AMPLICON,METAGENOMIC,PCR
SRX21335523,"18S of gut goat metagenome. Rumen sample, goat: 4336 diet: C, sampleID: 35",goat gut metagenome,Illumina MiSeq,National Research Council (CNR),SRP454594,Impact of increasing dietary concentrations of quebracho tannins on the ruminal and fecal microbiota of dairy goats,SRS18580766,,42.31,1,150241,73714764,goat18S_35,AMPLICON,METAGENOMIC,PCR
SRX21335522,"18S of gut goat metagenome. Rumen sample, goat: 7854 diet: Q6, sampleID: 59",goat gut metagenome,Illumina MiSeq,National Research Council (CNR),SRP454594,Impact of increasing dietary concentrations of quebracho tannins on the ruminal and fecal microbiota of dairy goats,SRS18580791,,32.97,1,98529,49050772,goat18S_59,AMPLICON,METAGENOMIC,PCR
SRX21335521,"18S of gut goat metagenome. Rumen sample, goat: 4336 diet: Q2, sampleID: 58",goat gut metagenome,Illumina MiSeq,National Research Council (CNR),SRP454594,Impact of increasing dietary concentrations of quebracho tannins on the ruminal and fecal microbiota of dairy goats,SRS18580790,,56.71,1,203943,102317715,goat18S_58,AMPLICON,METAGENOMIC,PCR
SRX21335520,"18S of gut goat metagenome. Rumen sample, goat: 4334 diet: Q4, sampleID: 57",goat gut metagenome,Illumina MiSeq,National Research Council (CNR),SRP454594,Impact of increasing dietary concentrations of quebracho tannins on the ruminal and fecal microbiota of dairy goats,SRS18580789,,27.28,1,87616,43790953,goat18S_57,AMPLICON,METAGENOMIC,PCR
