sample-id	animal	sex	box	treatment	timepoint	experiment	group
1	1	F	1	Controllo	0	LUPINI	SET A
2	2	F	1	Controllo	0	LUPINI	SET A
3	3	F	1	Controllo	0	LUPINI	SET A
4	5	F	1	Controllo	0	LUPINI	SET A
5	8	M	1	Controllo	0	LUPINI	SET A
6	9	F	1	Controllo	0	LUPINI	SET A
7	10	F	1	Controllo	0	LUPINI	SET A
8	14	M	1	Controllo	0	LUPINI	SET A
9	17	M	1	Controllo	0	LUPINI	SET A
10	19	F	1	Controllo	0	LUPINI	SET A
11	4	F	2	Lupini	0	LUPINI	SET A
12	6	M	2	Lupini	0	LUPINI	SET A
13	7	F	2	Lupini	0	LUPINI	SET A
14	11	M	2	Lupini	0	LUPINI	SET A
15	12	F	2	Lupini	0	LUPINI	SET A
16	13	M	2	Lupini	0	LUPINI	SET A
17	15	F	2	Lupini	0	LUPINI	SET A
18	16	F	2	Lupini	0	LUPINI	SET A
19	18	F	2	Lupini	0	LUPINI	SET A
20	20	M	2	Lupini	0	LUPINI	SET A
21	1	F	1	Controllo	14	LUPINI	SET A
22	2	F	1	Controllo	14	LUPINI	SET A
23	3	F	1	Controllo	14	LUPINI	SET A
24	5	F	1	Controllo	14	LUPINI	SET A
25	8	M	1	Controllo	14	LUPINI	SET A
26	9	F	1	Controllo	14	LUPINI	SET A
27	10	F	1	Controllo	14	LUPINI	SET A
28	14	M	1	Controllo	14	LUPINI	SET A
29	17	M	1	Controllo	14	LUPINI	SET A
30	19	F	1	Controllo	14	LUPINI	SET A
31	4	F	2	Lupini	14	LUPINI	SET A
32	6	M	2	Lupini	14	LUPINI	SET A
33	7	F	2	Lupini	14	LUPINI	SET A
34	11	M	2	Lupini	14	LUPINI	SET A
35	12	F	2	Lupini	14	LUPINI	SET A
36	13	M	2	Lupini	14	LUPINI	SET A
37	15	F	2	Lupini	14	LUPINI	SET A
38	16	F	2	Lupini	14	LUPINI	SET A
39	18	F	2	Lupini	14	LUPINI	SET A
40	20	M	2	Lupini	14	LUPINI	SET A
41	1	F	1	Controllo	28	LUPINI	SET A
42	2	F	1	Controllo	28	LUPINI	SET A
43	3	F	1	Controllo	28	LUPINI	SET A
44	5	F	1	Controllo	28	LUPINI	SET A
45	8	M	1	Controllo	28	LUPINI	SET A
46	9	F	1	Controllo	28	LUPINI	SET A
47	10	F	1	Controllo	28	LUPINI	SET A
48	14	M	1	Controllo	28	LUPINI	SET A
49	17	M	1	Controllo	28	LUPINI	SET A
50	19	F	1	Controllo	28	LUPINI	SET A
51	4	F	2	Lupini	28	LUPINI	SET A
52	6	M	2	Lupini	28	LUPINI	SET A
53	7	F	2	Lupini	28	LUPINI	SET A
54	11	M	2	Lupini	28	LUPINI	SET A
55	13	M	2	Lupini	28	LUPINI	SET A
56	15	F	2	Lupini	28	LUPINI	SET A
57	18	F	2	Lupini	28	LUPINI	SET A
58	20	M	2	Lupini	28	LUPINI	SET A
59	2	M	2	Controllo	0	FAGIOLI	SET B
60	3	F	1	Controllo	0	FAGIOLI	SET B
61	5	M	1	Controllo	0	FAGIOLI	SET B
62	6	M	2	Controllo	0	FAGIOLI	SET B
63	9	M	3	Controllo	0	FAGIOLI	SET B
64	12	F	3	Controllo	0	FAGIOLI	SET B
65	14	F	3	Controllo	0	FAGIOLI	SET B
66	1	F	4	Fagioli	0	FAGIOLI	SET B
67	4	M	4	Fagioli	0	FAGIOLI	SET B
68	7	F	5	Fagioli	0	FAGIOLI	SET B
69	8	F	6	Fagioli	0	FAGIOLI	SET B
70	10	M	5	Fagioli	0	FAGIOLI	SET B
71	11	F	6	Fagioli	0	FAGIOLI	SET B
72	13	M	6	Fagioli	0	FAGIOLI	SET B
73	2	M	2	Controllo	14	FAGIOLI	SET B
74	3	F	1	Controllo	14	FAGIOLI	SET B
75	5	M	1	Controllo	14	FAGIOLI	SET B
76	6	M	2	Controllo	14	FAGIOLI	SET B
77	9	M	3	Controllo	14	FAGIOLI	SET B
78	12	F	3	Controllo	14	FAGIOLI	SET B
79	14	F	3	Controllo	14	FAGIOLI	SET B
80	1	F	4	Fagioli	14	FAGIOLI	SET B
81	4	M	4	Fagioli	14	FAGIOLI	SET B
82	7	F	5	Fagioli	14	FAGIOLI	SET B
83	8	F	6	Fagioli	14	FAGIOLI	SET B
84	10	M	5	Fagioli	14	FAGIOLI	SET B
85	11	F	6	Fagioli	14	FAGIOLI	SET B
86	13	M	6	Fagioli	14	FAGIOLI	SET B
87	2	M	2	Controllo	28	FAGIOLI	SET B
88	3	F	1	Controllo	28	FAGIOLI	SET B
89	5	M	1	Controllo	28	FAGIOLI	SET B
90	6	M	2	Controllo	28	FAGIOLI	SET B
91	9	M	3	Controllo	28	FAGIOLI	SET B
92	12	F	3	Controllo	28	FAGIOLI	SET B
93	14	F	3	Controllo	28	FAGIOLI	SET B
94	1	F	4	Fagioli	28	FAGIOLI	SET B
95	4	M	4	Fagioli	28	FAGIOLI	SET B
96	7	F	5	Fagioli	28	FAGIOLI	SET B
97	8	F	6	Fagioli	28	FAGIOLI	SET B
98	10	M	5	Fagioli	28	FAGIOLI	SET B
99	11	F	6	Fagioli	28	FAGIOLI	SET B
100	13	M	6	Fagioli	28	FAGIOLI	SET B
