#sampleID	nid	seriale	cow	id	group	timepoint
11	1	50	65	RAF6	control	T1
22	2	53	65	RAF18	control	T5
33	3	106	65	106-RAF13	control	T4
44	4	42	78	RAF59	control	T5
55	5	55	78	RAF38	control	T1
66	6	112	78	112-RAF56	control	T4
77	7	32	117	RAF102	control	T5
88	8	35	117	RAF75	control	T1
99	9	119	117	119-RAF91	control	T4
1010	10	145	183	RAF70	control	T1
1111	11	146	183	RAF82	control	T4
1212	12	147	183	RAF95	control	T5
1313	13	4	193	RAF140	control	T1
1414	14	129	193	129-RAF172	control	T4
1515	15	71	193	RAF178	control	T5
1616	16	2	202	RAF141	control	T5
1717	17	20	202	RAF116	control	T1
1818	18	124	202	124-RAF131	control	T4
1919	19	27	575	RAF85	control	T5
2020	20	46	575	RAF65	control	T1
2121	21	116	575	116-RAF80	control	T4
2222	22	28	95	RAF78	control	T1
2323	23	19	95	RAF86	control	T5
2424	24	105	99	RAF7	control	T4
2525	25	58	99	RAF10	control	T5
2626	26	93	192	RAF201	control	T1
2727	27	136	192	RAF224	control	T4
2828	28	1	139	RAF103	sealant	T5
2929	29	36	139	RAF76	sealant	T1
3030	30	120	139	120-RAF93	sealant	T4
3131	31	56	147	RAF62	sealant	T5
3232	32	57	147	RAF40	sealant	T1
3333	33	113	147	113-RAF57	sealant	T4
3434	34	51	158	RAF11	sealant	T1
3535	35	52	158	RAF27	sealant	T5
3636	36	107	158	107-RAF20	sealant	T4
3737	37	47	191	RAF31	sealant	T1
3838	38	60	191	RAF46	sealant	T5
3939	39	111	191	111-RAF41	sealant	T4
4040	40	139	197	139-RAF252	sealant	T4
4141	41	92	197	RAF239	sealant	T1
4242	42	99	197	RAF264	sealant	T5
4343	43	83	581	RAF227	sealant	T5
4444	44	95	581	RAF190	sealant	T1
4545	45	133	581	133-RAF213	sealant	T4
4646	46	29	587	RAF126	sealant	T1
4747	47	33	587	RAF162	sealant	T5
4848	48	127	587	127-RAF144	sealant	T4
4949	49	76	603	RAF208	sealant	T5
5050	50	78	603	RAF174	sealant	T1
5151	51	132	603	132-RAF192	sealant	T4
5252	52	25	157	RAF68	sealant	T1
5353	53	117	157	RAF81	sealant	T4
5454	54	15	157	RAF94	sealant	T5
5555	55	8	161	RAF114	sealant	T1
5656	56	17	161	RAF145	sealant	T4
5757	57	77	96	RAF171	aloe	T1
5858	58	141	96	141-RAF189	aloe	T4
5959	59	80	96	RAF195	aloe	T5
6060	60	31	152	RAF104	aloe	T1
6161	61	34	152	RAF130	aloe	T5
6262	62	123	152	123-RAF123	aloe	T4
6363	63	79	170	RAF212	aloe	T5
6464	64	101	170	RAF177	aloe	T1
6565	65	149	170	RAF199	aloe	T4
6666	66	24	199	RAF83	aloe	T1
6767	67	26	199	RAF115	aloe	T5
6868	68	148	199	RAF105	aloe	T4
6969	69	94	201	RAF240	aloe	T4
7070	70	143	201	143-RAF291	aloe	T5
7171	71	100	201	RAF225	aloe	T1
7272	72	23	217	RAF142	aloe	T1
7373	73	72	217	RAF179	aloe	T5
7474	74	130	217	130-RAF173	aloe	T4
7575	75	5	577	RAF160	aloe	T1
7676	76	74	577	RAF188	aloe	T5
7777	77	131	577	131-RAF180	aloe	T4
7878	78	88	596	RAF242	aloe	T4
7979	79	144	596	144-RAF292	aloe	T5
8080	80	102	596	RAF230	aloe	T1
8181	81	16	115	RAF127	aloe	T1
8282	82	128	115	RAF157	aloe	T4
8383	83	65	115	RAF166	aloe	T5
8484	84	90	178	RAF200	aloe	T1
8585	85	135	178	RAF223	aloe	T4
