run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR13337668	PRJEB72623	SAMEA115791440	ERX12708642	1616037	milk metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/068/ERR13337668/ERR13337668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/068/ERR13337668/ERR13337668_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337668/RAL117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337668/RAL117_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/068/ERR13337668/ERR13337668.bam
ERR13337674	PRJEB72623	SAMEA115791478	ERX12708648	1616037	milk metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/074/ERR13337674/ERR13337674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/074/ERR13337674/ERR13337674_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337674/RAL134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337674/RAL134_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/074/ERR13337674/ERR13337674.bam
ERR13337679	PRJEB72623	SAMEA115791502	ERX12708653	1616037	milk metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/079/ERR13337679/ERR13337679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/079/ERR13337679/ERR13337679_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337679/RAL140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337679/RAL140_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/079/ERR13337679/ERR13337679.bam
ERR13337684	PRJEB72623	SAMEA115791457	ERX12708658	1616037	milk metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/084/ERR13337684/ERR13337684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/084/ERR13337684/ERR13337684_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337684/RAL159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337684/RAL159_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/084/ERR13337684/ERR13337684.bam
ERR13337685	PRJEB72623	SAMEA115791453	ERX12708659	1616037	milk metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/085/ERR13337685/ERR13337685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/085/ERR13337685/ERR13337685_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337685/RAL15_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337685/RAL15_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/085/ERR13337685/ERR13337685.bam
ERR13337687	PRJEB72623	SAMEA115791459	ERX12708661	1616037	milk metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/087/ERR13337687/ERR13337687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/087/ERR13337687/ERR13337687_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337687/RAL161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337687/RAL161_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/087/ERR13337687/ERR13337687.bam
ERR13337689	PRJEB72623	SAMEA115791519	ERX12708663	1616037	milk metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/089/ERR13337689/ERR13337689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/089/ERR13337689/ERR13337689_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337689/RAL163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337689/RAL163_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/089/ERR13337689/ERR13337689.bam
ERR13337690	PRJEB72623	SAMEA115791520	ERX12708664	1616037	milk metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/090/ERR13337690/ERR13337690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/090/ERR13337690/ERR13337690_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337690/RAL164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337690/RAL164_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/090/ERR13337690/ERR13337690.bam
ERR13337692	PRJEB72623	SAMEA115791522	ERX12708666	1616037	milk metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/092/ERR13337692/ERR13337692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/092/ERR13337692/ERR13337692_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337692/RAL166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337692/RAL166_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/092/ERR13337692/ERR13337692.bam
ERR13337694	PRJEB72623	SAMEA115791455	ERX12708668	1616037	milk metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/094/ERR13337694/ERR13337694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/094/ERR13337694/ERR13337694_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337694/RAL17_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337694/RAL17_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/094/ERR13337694/ERR13337694.bam
