sample-id	nid	cow	treatment	timepoint	project
RAL646	1	577	ASIG	T12	RABOLA
RAL647	2	577	ASIG	T12	RABOLA
RAL648	3	577	ASIG	T12	RABOLA
RAL649	4	577	ASIG	T12	RABOLA
RAL518	5	199	ASIG	T12	RABOLA
RAL519	6	199	ASIG	T12	RABOLA
RAL520	7	199	ASIG	T12	RABOLA
RAL521	8	199	ASIG	T12	RABOLA
RAL506	9	201	ASIG	T0	RABOLA
RAL507	10	201	ASIG	T0	RABOLA
RAL508	11	201	ASIG	T0	RABOLA
RAL509	12	201	ASIG	T0	RABOLA
RAL522	13	161	SIG	T12	RABOLA
RAL523	14	161	SIG	T12	RABOLA
RAL524	15	161	SIG	T12	RABOLA
RAL525	16	161	SIG	T12	RABOLA
RAL534	17	202	CTR	T12	RABOLA
RAL535	18	202	CTR	T12	RABOLA
RAL536	19	202	CTR	T12	RABOLA
RAL537	20	202	CTR	T12	RABOLA
RAL510	21	596	ASIG	T0	RABOLA
RAL511	22	596	ASIG	T0	RABOLA
RAL512	23	596	ASIG	T0	RABOLA
RAL513	24	596	ASIG	T0	RABOLA
RAL616	25	115	ASIG	T12	RABOLA
RAL617	26	115	ASIG	T12	RABOLA
RAL618	27	115	ASIG	T12	RABOLA
RAL619	28	115	ASIG	T12	RABOLA
RAL514	29	152	ASIG	T12	RABOLA
RAL515	30	152	ASIG	T12	RABOLA
RAL516	31	152	ASIG	T12	RABOLA
RAL517	32	152	ASIG	T12	RABOLA
RAL637	33	193	CTR	T12	RABOLA
RAL638	34	193	CTR	T12	RABOLA
RAL639	35	193	CTR	T12	RABOLA
RAL640	36	193	CTR	T12	RABOLA
RAL598	37	587	SIG	T12	RABOLA
RAL599	38	587	SIG	T12	RABOLA
RAL600	39	587	SIG	T12	RABOLA
RAL601	40	587	SIG	T12	RABOLA
RAL526	41	197	SIG	T0	RABOLA
RAL527	42	197	SIG	T0	RABOLA
RAL528	43	197	SIG	T0	RABOLA
RAL529	44	197	SIG	T0	RABOLA
RAL620	45	217	ASIG	T12	RABOLA
RAL621	46	217	ASIG	T12	RABOLA
RAL622	47	217	ASIG	T12	RABOLA
RAL623	48	217	ASIG	T12	RABOLA
RAL426	49	183	CTR	T12	RABOLA
RAL427	50	183	CTR	T12	RABOLA
RAL428	51	183	CTR	T12	RABOLA
RAL429	52	183	CTR	T12	RABOLA
RAL385	53	78	CTR	T12	RABOLA
RAL386	54	78	CTR	T12	RABOLA
RAL387	55	78	CTR	T12	RABOLA
RAL388	56	78	CTR	T12	RABOLA
