Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,biotic_regm,Bytes,Center Name,chem_administration,coll_site_geo_feat,Collection_Date,Consent,Cow_number,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,env_broad_scale,env_local_scale,env_medium,Experiment,food_origin,food_prod_char,food_product_type,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,IFSAC_Category,Instrument,intended_consumer,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,progressive,purpose_of_sampling,ReleaseDate,create_date,version,samp_mat_type,Sample Name,sampling_timepoint,SRA Study
SRR29232829,AMPLICON,295,31140972,PRJNA1103402,SAMN41053062,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",Lc. cremoris FT27 strain,20214427,NATIONAL RESEARCH COUNCIL (CNR),none,Farm: ENVO:00000078,Not available,public,76,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751751,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_1_S1,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,A3F,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:32:00Z,1,Milk: [UBERON:0001913],1_S1,T0,SRP510782
SRR29232830,AMPLICON,441,21169693,PRJNA1103402,SAMN41053080,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",Lc. cremoris FT45 strain,13127351,NATIONAL RESEARCH COUNCIL (CNR),none,Farm: ENVO:00000078,Not available,public,1043,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751750,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_19_S19,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,D57F,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],19_S19,T0,SRP510782
SRR29232831,AMPLICON,448,25383294,PRJNA1103402,SAMN41053168,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",none,15666357,NATIONAL RESEARCH COUNCIL (CNR),Commercial disinfectant,Farm: ENVO:00000078,Not available,public,1113,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751749,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_107_S107,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,B321L,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],107_S107,T2,SRP510782
SRR29232832,AMPLICON,452,26332549,PRJNA1103402,SAMN41053079,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",Lc. cremoris FT44 strain,16523015,NATIONAL RESEARCH COUNCIL (CNR),none,Farm: ENVO:00000078,Not available,public,929,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751748,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_18_S18,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,C54M,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:32:00Z,1,Milk: [UBERON:0001913],18_S18,T0,SRP510782
SRR29232833,AMPLICON,355,39035751,PRJNA1103402,SAMN41053078,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",Lc. cremoris FT43 strain,25189218,NATIONAL RESEARCH COUNCIL (CNR),none,Farm: ENVO:00000078,Not available,public,929,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751747,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_17_S17,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,B51L,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:32:00Z,1,Milk: [UBERON:0001913],17_S17,T0,SRP510782
SRR29232834,AMPLICON,412,16146903,PRJNA1103402,SAMN41053077,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",Lc. cremoris FT42 strain,10078178,NATIONAL RESEARCH COUNCIL (CNR),none,Farm: ENVO:00000078,Not available,public,925,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751746,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_16_S16,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,A48I,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],16_S16,T0,SRP510782
SRR29232835,AMPLICON,345,29959332,PRJNA1103402,SAMN41053221,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",none,19197255,NATIONAL RESEARCH COUNCIL (CNR),Commercial disinfectant,Farm: ENVO:00000078,Not available,public,1177,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751745,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_160_S160,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,E480I,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],160_S160,T3,SRP510782
SRR29232836,AMPLICON,427,13794286,PRJNA1103402,SAMN41053076,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",Lc. cremoris FT41 strain,8454416,NATIONAL RESEARCH COUNCIL (CNR),none,Farm: ENVO:00000078,Not available,public,925,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751744,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_15_S15,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,E45H,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],15_S15,T0,SRP510782
SRR29232837,AMPLICON,381,15176888,PRJNA1103402,SAMN41053220,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",none,9389087,NATIONAL RESEARCH COUNCIL (CNR),Commercial disinfectant,Farm: ENVO:00000078,Not available,public,1177,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751743,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_159_S159,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,D477H,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],159_S159,T3,SRP510782
SRR29232838,AMPLICON,329,14171593,PRJNA1103402,SAMN41053219,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",none,9173563,NATIONAL RESEARCH COUNCIL (CNR),Commercial disinfectant,Farm: ENVO:00000078,Not available,public,1171,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751742,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_158_S158,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,C474G,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],158_S158,T3,SRP510782
