#SampleID	miseq	cow	quarter	timepoint	treatment	scc
11	1	76	AS	T1	TRATTATO	1
22	2	76	PS	T1	TRATTATO	20
33	3	763	AS	T1	TRATTATO	1
44	4	763	PS	T1	TRATTATO	1
55	5	771	AD	T1	TRATTATO	84
66	6	771	PD	T1	TRATTATO	7
77	7	833	AS	T1	TRATTATO	53
88	8	833	PS	T1	TRATTATO	6
99	9	850	AD	T1	TRATTATO	1
1010	10	850	PD	T1	TRATTATO	1
1111	11	902	AS	T1	TRATTATO	13
1212	12	902	PS	T1	TRATTATO	11
1313	13	917	AS	T1	TRATTATO	17
1414	14	917	PS	T1	TRATTATO	1
1515	15	925	AS	T1	TRATTATO	1
1616	16	925	PS	T1	TRATTATO	1
1717	17	929	AD	T1	TRATTATO	2
1818	18	929	PD	T1	TRATTATO	3
1919	19	1043	AD	T1	TRATTATO	1
2020	20	1043	PD	T1	TRATTATO	114
2121	21	1071	AD	T1	CONTROLLO	4
2222	22	1071	PD	T1	CONTROLLO	1
2323	23	1087	AD	T1	CONTROLLO	1
2424	24	1087	PD	T1	CONTROLLO	1
2525	25	1097	AD	T1	CONTROLLO	2
2626	26	1097	PD	T1	CONTROLLO	1
2727	27	1113	AD	T1	CONTROLLO	1
2828	28	1113	PD	T1	CONTROLLO	3
2929	29	1123	AD	T1	CONTROLLO	1
3030	30	1123	PD	T1	CONTROLLO	4
3131	31	1129	AS	T1	CONTROLLO	1
3232	32	1129	PS	T1	CONTROLLO	1
3333	33	1137	AS	T1	CONTROLLO	1
3434	34	1137	PS	T1	CONTROLLO	1
3535	35	1145	AS	T1	CONTROLLO	1
3636	36	1145	PS	T1	CONTROLLO	1
3737	37	1171	AD	T1	CONTROLLO	1
3838	38	1171	PD	T1	CONTROLLO	5
3939	39	1177	AD	T1	CONTROLLO	1
4040	40	1177	PD	T1	CONTROLLO	1
4141	41	76	AS	T2	TRATTATO	4
4242	42	76	PS	T2	TRATTATO	15
4343	43	763	AS	T2	TRATTATO	1
4444	44	763	PS	T2	TRATTATO	1
4545	45	771	AD	T2	TRATTATO	43
4646	46	771	PD	T2	TRATTATO	1
4747	47	833	AS	T2	TRATTATO	1
4848	48	833	PS	T2	TRATTATO	1
4949	49	850	AD	T2	TRATTATO	2
5050	50	850	PD	T2	TRATTATO	2
5151	51	902	AS	T2	TRATTATO	24
5252	52	902	PS	T2	TRATTATO	16
5353	53	917	AS	T2	TRATTATO	49
5454	54	917	PS	T2	TRATTATO	2
5555	55	925	AS	T2	TRATTATO	5
5656	56	925	PS	T2	TRATTATO	1
5757	57	929	AD	T2	TRATTATO	3
5858	58	929	PD	T2	TRATTATO	5
5959	59	1043	AD	T2	TRATTATO	1
6060	60	1043	PD	T2	TRATTATO	43
6161	61	1071	AD	T2	CONTROLLO	3
6262	62	1071	PD	T2	CONTROLLO	1
6363	63	1087	AD	T2	CONTROLLO	1
6464	64	1087	PD	T2	CONTROLLO	5
6565	65	1097	AD	T2	CONTROLLO	6
6666	66	1097	PD	T2	CONTROLLO	22
6767	67	1113	AD	T2	CONTROLLO	1
6868	68	1113	PD	T2	CONTROLLO	2
6969	69	1123	AD	T2	CONTROLLO	1
7070	70	1123	PD	T2	CONTROLLO	6
7171	71	1129	AS	T2	CONTROLLO	1
7272	72	1129	PS	T2	CONTROLLO	4
7373	73	1137	AS	T2	CONTROLLO	1
7474	74	1137	PS	T2	CONTROLLO	1
7575	75	1145	AS	T2	CONTROLLO	1
