Checklist	ERC000013	GSC MIxS host associated														
sample_alias	tax_id	scientific_name	sample_title	sample_description	sample derived from	project name	collection date	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	broad-scale environmental context	local environmental context	environmental medium	host taxid	host body site	host sex
#units	 	 	 	 	 	 	 	 	DD	DD	 	 	 			
RAR1	506599	bovine gut metagenome	1	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR59	506599	bovine gut metagenome	2	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR31	506599	bovine gut metagenome	3	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR32	506599	bovine gut metagenome	4	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR75	506599	bovine gut metagenome	5	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR6	506599	bovine gut metagenome	6	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR34	506599	bovine gut metagenome	7	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR35	506599	bovine gut metagenome	8	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR20	506599	bovine gut metagenome	9	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
RAR13	506599	bovine gut metagenome	10	rumen liquor		PRJEB77087	2022-05-30	Italy	45.006381	9.703776	UBERON_0001007	UBERON_0001007	UBERON_0001007	9913	rumen	female
