run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR13337922	PRJEB77087	SAMEA115792433	ERX12708896	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/022/ERR13337922/ERR13337922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/022/ERR13337922/ERR13337922_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337922/12_S12_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337922/12_S12_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/022/ERR13337922/ERR13337922.bam
ERR13337924	PRJEB77087	SAMEA115792435	ERX12708898	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/024/ERR13337924/ERR13337924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/024/ERR13337924/ERR13337924_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337924/14_S14_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337924/14_S14_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/024/ERR13337924/ERR13337924.bam
ERR13337925	PRJEB77087	SAMEA115792436	ERX12708899	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/025/ERR13337925/ERR13337925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/025/ERR13337925/ERR13337925_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337925/15_S15_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337925/15_S15_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/025/ERR13337925/ERR13337925.bam
ERR13337926	PRJEB77087	SAMEA115792437	ERX12708900	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/026/ERR13337926/ERR13337926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/026/ERR13337926/ERR13337926_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337926/16_S16_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337926/16_S16_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/026/ERR13337926/ERR13337926.bam
ERR13337933	PRJEB77087	SAMEA115792443	ERX12708907	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/033/ERR13337933/ERR13337933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/033/ERR13337933/ERR13337933_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337933/22_S22_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337933/22_S22_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/033/ERR13337933/ERR13337933.bam
ERR13337936	PRJEB77087	SAMEA115792446	ERX12708910	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/036/ERR13337936/ERR13337936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/036/ERR13337936/ERR13337936_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337936/25_S25_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337936/25_S25_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/036/ERR13337936/ERR13337936.bam
ERR13337937	PRJEB77087	SAMEA115792447	ERX12708911	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/037/ERR13337937/ERR13337937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/037/ERR13337937/ERR13337937_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337937/26_S26_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337937/26_S26_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/037/ERR13337937/ERR13337937.bam
ERR13337940	PRJEB77087	SAMEA115792450	ERX12708914	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/040/ERR13337940/ERR13337940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/040/ERR13337940/ERR13337940_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337940/29_S29_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337940/29_S29_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/040/ERR13337940/ERR13337940.bam
ERR13337941	PRJEB77087	SAMEA115792423	ERX12708915	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/041/ERR13337941/ERR13337941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/041/ERR13337941/ERR13337941_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337941/2_S2_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337941/2_S2_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/041/ERR13337941/ERR13337941.bam
ERR13337946	PRJEB77087	SAMEA115792455	ERX12708920	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/046/ERR13337946/ERR13337946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/046/ERR13337946/ERR13337946_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337946/34_S34_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337946/34_S34_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/046/ERR13337946/ERR13337946.bam
